encounter_id,miss_distance_m,pc,lead_time_nocoop_min,lead_time_cooperative_min,lead_time_gain_min
ENC-55676-56455-316530,26.8,0.0007988490256910885,1579.0,4320.0,2741.0
ENC-56459-56466-314760,81.3,0.0007894922689529761,1577.0,4320.0,2743.0
ENC-63677-63682-598590,151.0,0.0007643339907960213,1572.0,4320.0,2748.0
ENC-64108-64113-290820,173.4,0.0007533003470523642,1570.0,4320.0,2750.0
ENC-67500-67515-573510,201.6,0.0007375487558533748,1567.0,4320.0,2753.0
ENC-51887-58778-474360,296.5,0.0006709995918700338,1552.0,4320.0,2768.0
ENC-52880-60275-423810,298.5,0.0006694382371590486,1552.0,4320.0,2768.0
ENC-47978-53919-358230,302.2,0.0006664368779113873,1551.0,4320.0,2769.0
ENC-56916-58493-372420,304.7,0.0006644007579451097,1550.0,4320.0,2770.0
ENC-58890-58893-316170,331.0,0.0006426167163487735,1545.0,4320.0,2775.0
ENC-63480-66799-379770,338.1,0.000636504001685847,1544.0,4320.0,2776.0
ENC-58973-59382-263760,339.6,0.0006352146745690952,1543.0,4320.0,2777.0
ENC-67810-69329-499680,349.1,0.0006269165315943186,1541.0,4320.0,2779.0
ENC-59032-67127-551370,360.2,0.0006171156969024901,1539.0,4320.0,2781.0
ENC-50165-53742-450060,361.1,0.0006163491481929891,1538.0,4320.0,2782.0
ENC-56413-59748-456780,365.9,0.0006120462143567186,1537.0,4320.0,2783.0
ENC-58166-66211-558270,373.4,0.0006053213301477545,1535.0,4320.0,2785.0
ENC-64925-68546-360960,378.9,0.0006003706596206201,1534.0,4320.0,2786.0
ENC-55483-57472-322530,379.8,0.000599545750761523,1534.0,4320.0,2786.0
ENC-48305-48428-364080,380.1,0.0005992258466037576,1534.0,4320.0,2786.0
ENC-61956-64193-294000,392.8,0.000587602474879461,1531.0,4320.0,2789.0
ENC-62207-63822-583110,411.5,0.0005702000236124551,1526.0,4320.0,2794.0
ENC-51755-53824-279060,412.7,0.0005690718472635895,1525.0,4320.0,2795.0
ENC-65335-67854-469470,415.5,0.0005664136575634146,1525.0,4320.0,2795.0
ENC-63903-63966-264840,417.7,0.0005643096874261245,1524.0,4320.0,2796.0
ENC-51987-60020-264660,418.9,0.000563175948106926,1524.0,4320.0,2796.0
ENC-65792-69429-440250,426.3,0.000556208628655289,1522.0,4320.0,2798.0
ENC-58179-64142-467430,441.8,0.0005414210655058363,1517.0,4320.0,2803.0
ENC-53859-60148-317520,445.7,0.0005377380097937447,1516.0,4320.0,2804.0
ENC-52854-63365-500550,461.1,0.0005228627032382221,1512.0,4320.0,2808.0
ENC-66161-69536-541080,461.7,0.0005223089227946913,1511.0,4320.0,2809.0
ENC-54820-59631-340170,464.6,0.0005195280932868559,1510.0,4320.0,2810.0
ENC-54068-54071-491250,472.8,0.0005115727478648806,1508.0,4320.0,2812.0
ENC-59271-69842-352950,483.1,0.0005015984751103454,1505.0,4320.0,2815.0
ENC-59676-63855-335820,483.5,0.0005012740434013889,1504.0,4320.0,2816.0
ENC-63120-64009-330330,484.6,0.0005001415249826397,1504.0,4320.0,2816.0
ENC-68905-69124-470790,498.1,0.00048703560115000513,1500.0,4320.0,2820.0
ENC-54085-54102-590280,505.3,0.00048009126534330325,1497.0,4320.0,2823.0
