round,mean_error,trimmed_mean_error,reputation_weighted_error
1,0.3536,0.2500,0.2312
2,0.4564,0.5590,0.3012
3,0.3819,0.2500,0.1885
4,0.3436,0.5000,0.1932
5,0.3333,0.5000,0.1372
6,0.0833,0.0000,0.0574
7,0.5951,0.3536,0.1904
8,0.6346,0.7500,0.1593
9,0.5270,0.7500,0.1690
10,0.5336,0.5000,0.1135
11,0.3727,0.5000,0.0506
12,0.2635,0.2500,0.0637
13,1.0000,0.6719,0.9701
14,0.9428,1.4767,0.7276
15,0.4082,0.4249,0.3809
16,0.5270,0.2500,0.3314
17,0.2357,0.0000,0.1856
18,0.2887,0.2357,0.1205
19,0.3727,0.5000,0.0733
20,1.1180,1.0992,0.3935
